2026-05-23 08:56:41,877 [parser] reading multistream index from /mnt/data/downloads/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 11:39:14,763 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:02:19,658 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:03:14,777 [parser] got 255166 unique offsets
2026-05-23 12:03:14,780 [parser] limited to first 10 offsets (test mode)
2026-05-23 12:03:16,170 [w325880] worker 9 block @10180767 decompress failed: 
2026-05-23 12:14:15,564 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:15:11,833 [parser] got 255166 unique offsets
2026-05-23 12:15:11,896 [parser] preloaded 613 existing urls for in-memory skip
2026-05-23 12:16:12,208 [loader] [LOADER] 19,000 docs written | 437,672 links written | 19,000 docs/min
2026-05-23 12:17:12,208 [loader] [LOADER] 30,500 docs written | 808,796 links written | 11,500 docs/min
2026-05-23 12:18:12,209 [loader] [LOADER] 38,500 docs written | 1,125,186 links written | 8,000 docs/min
2026-05-23 12:19:12,209 [loader] [LOADER] 47,500 docs written | 1,432,739 links written | 9,000 docs/min
2026-05-23 12:20:12,210 [loader] [LOADER] 55,000 docs written | 1,687,973 links written | 7,500 docs/min
2026-05-23 12:21:12,211 [loader] [LOADER] 63,500 docs written | 1,991,407 links written | 8,500 docs/min
2026-05-23 12:22:12,211 [loader] [LOADER] 72,000 docs written | 2,275,428 links written | 8,500 docs/min
2026-05-23 12:23:12,212 [loader] [LOADER] 80,000 docs written | 2,543,701 links written | 8,000 docs/min
2026-05-23 12:24:12,212 [loader] [LOADER] 84,559 docs written | 2,579,396 links written | 4,559 docs/min
2026-05-23 15:21:32,031 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 15:24:07,911 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 15:24:48,779 [parser] got 255166 unique offsets
2026-05-23 15:24:49,360 [parser] preloaded 85172 existing urls for in-memory skip
2026-05-23 15:25:50,187 [loader] [LOADER] 9,000 docs written | 70,568 links written | 9,000 docs/min
2026-05-23 15:26:50,193 [loader] [LOADER] 11,500 docs written | 212,723 links written | 2,500 docs/min
2026-05-23 15:27:50,199 [loader] [LOADER] 16,000 docs written | 334,718 links written | 4,500 docs/min
2026-05-23 15:28:50,199 [loader] [LOADER] 23,000 docs written | 562,747 links written | 7,000 docs/min
2026-05-23 15:29:50,200 [loader] [LOADER] 27,500 docs written | 760,605 links written | 4,500 docs/min
2026-05-23 15:30:50,201 [loader] [LOADER] 35,500 docs written | 1,038,554 links written | 8,000 docs/min
2026-05-23 15:31:50,201 [loader] [LOADER] 43,000 docs written | 1,292,174 links written | 7,500 docs/min
2026-05-23 15:32:50,202 [loader] [LOADER] 49,000 docs written | 1,476,182 links written | 6,000 docs/min
2026-05-23 15:33:50,202 [loader] [LOADER] 54,500 docs written | 1,682,793 links written | 5,500 docs/min
2026-05-23 15:34:50,202 [loader] [LOADER] 63,500 docs written | 1,934,805 links written | 9,000 docs/min
2026-05-23 15:35:50,203 [loader] [LOADER] 70,500 docs written | 2,186,300 links written | 7,000 docs/min
2026-05-23 15:36:50,203 [loader] [LOADER] 77,500 docs written | 2,435,482 links written | 7,000 docs/min
2026-05-23 15:37:50,204 [loader] [LOADER] 84,500 docs written | 2,625,486 links written | 7,000 docs/min
2026-05-23 15:38:50,205 [loader] [LOADER] 85,000 docs written | 2,686,516 links written | 500 docs/min
2026-05-23 15:39:50,205 [loader] [LOADER] 86,500 docs written | 2,721,707 links written | 1,500 docs/min
2026-05-23 15:40:50,206 [loader] [LOADER] 87,000 docs written | 2,757,213 links written | 500 docs/min
2026-05-23 15:41:50,207 [loader] [LOADER] 87,000 docs written | 2,787,705 links written | 0 docs/min
2026-05-23 15:42:50,208 [loader] [LOADER] 90,000 docs written | 2,834,647 links written | 3,000 docs/min
2026-05-23 15:43:50,208 [loader] [LOADER] 92,000 docs written | 2,895,339 links written | 2,000 docs/min
2026-05-23 15:44:50,209 [loader] [LOADER] 93,500 docs written | 2,961,381 links written | 1,500 docs/min
2026-05-23 15:45:50,210 [loader] [LOADER] 94,500 docs written | 3,027,435 links written | 1,000 docs/min
2026-05-23 15:46:50,211 [loader] [LOADER] 97,000 docs written | 3,083,359 links written | 2,500 docs/min
2026-05-23 15:47:50,212 [loader] [LOADER] 98,000 docs written | 3,149,824 links written | 1,000 docs/min
2026-05-23 15:48:50,212 [loader] [LOADER] 101,500 docs written | 3,215,421 links written | 3,500 docs/min
